,Dia,Hora,MW:From-To,Mvar:From-To
EXP_NE,10,06-00,5840.3,-834.1999999999999
EXP_NE,10,06-30,5976.7,-809.7
EXP_NE,10,07-00,6935.4,-669.8
EXP_NE,10,07-30,8056.700000000001,-422.9
EXP_NE,10,08-00,8806.7,-431.69999999999993
EXP_NE,10,08-30,9107.5,-335.79999999999995
EXP_NE,10,09-00,8976.5,-373.00000000000006
EXP_NE,10,09-30,8598.8,-355.4
EXP_NE,10,10-00,8413.2,-494.19999999999993
EXP_NE,10,10-30,8756.8,-518.0
EXP_NE,10,11-00,8397.7,-580.0
EXP_NE,10,11-30,8054.5,-578.7
EXP_NE,10,12-00,7890.7,-761.4
EXP_NE,10,12-30,7995.3,-634.3
EXP_NE,10,13-00,7979.5,-881.1000000000001
EXP_NE,10,13-30,7882.0,-597.3
EXP_NE,10,14-00,7897.900000000001,-881.8999999999999
EXP_NE,10,14-30,7911.4,-830.0000000000001
EXP_NE,10,15-00,8158.5,-1024.7
EXP_NE,10,15-30,8538.2,-619.8
EXP_NE,10,16-00,8164.0,-819.5
EXP_NE,10,16-30,8081.4,-645.6999999999999
EXP_NE,10,17-00,8431.2,-679.0999999999999
EXP_NE,10,17-30,8191.0,-869.1
EXP_NE,10,18-00,6893.6,-972.0
EXP_NE,10,18-30,7837.8,-769.3
EXP_NE,10,19-00,7499.0,-951.6
EXP_NE,10,19-30,7735.0,-871.8000000000001
EXP_NE,10,20-00,8708.2,-971.4
EXP_NE,10,20-30,8970.5,-1102.3999999999999
EXP_NE,10,21-00,6714.0,-1326.2
EXP_NE,10,21-30,6221.8,-1304.3999999999999
EXP_NE,10,22-00,6353.5,-1228.8
EXP_NE,10,22-30,6373.9,-1247.6
EXP_NE,10,23-00,5949.8,-1264.3999999999999
EXP_NE,10,23-30,5862.8,-1282.9
EXP_NE,11,00-00,3227.1,-1578.6
EXP_NE,11,00-30,3833.9,-1285.8
EXP_NE,11,01-00,4393.3,-1520.2
EXP_NE,11,01-30,4757.7,-1466.4
EXP_NE,11,02-00,4964.5,-1335.4
EXP_NE,11,02-30,4865.1,-1335.6
EXP_NE,11,03-00,4805.3,-1340.8999999999999
EXP_NE,11,03-30,4870.0,-1221.5
EXP_NE,11,04-00,4972.9,-1290.7
EXP_NE,11,04-30,5235.7,-1429.8
EXP_NE,11,05-00,5092.7,-1189.8
EXP_NE,11,05-30,5316.1,-869.1999999999999
EXP_NE,11,06-00,5690.6,-719.2
EXP_NE,11,06-30,5997.9,-866.0
EXP_NE,11,07-00,6367.6,-776.9000000000001
EXP_NE,11,07-30,6425.7,-1109.5
EXP_NE,11,08-00,6186.6,-803.1
EXP_NE,11,08-30,5923.6,-967.2
EXP_NE,11,09-00,5576.3,-1201.5
EXP_NE,11,09-30,5032.9,-1024.8000000000002
EXP_NE,11,10-00,5280.1,-1091.5
EXP_NE,11,10-30,5497.6,-1254.1
EXP_NE,11,11-00,5269.1,-997.6
EXP_NE,11,11-30,5346.5,-1114.8
EXP_NE,11,12-00,5791.5,-1099.9
EXP_NE,11,12-30,5951.1,-901.4
EXP_NE,11,13-00,5905.8,-1114.1000000000001
EXP_NE,11,13-30,5990.7,-1087.3000000000002
EXP_NE,11,14-00,6307.3,-1121.4
EXP_NE,11,14-30,6704.0,-1083.4
EXP_NE,11,15-00,6892.1,-859.3000000000001
EXP_NE,11,15-30,7096.3,-932.5
EXP_NE,11,16-00,6785.1,-930.7
EXP_NE,11,16-30,7319.3,-586.0
EXP_NE,11,17-00,7465.7,-833.8000000000001
EXP_NE,11,17-30,7107.7,-1039.2
EXP_NE,11,18-00,7020.2,-1146.5
EXP_NE,11,18-30,6520.5,-655.4000000000001
EXP_NE,11,19-00,6975.4,-1016.6999999999999
EXP_NE,11,19-30,7704.7,-880.3
EXP_NE,11,20-00,6572.900000000001,-969.0
EXP_NE,11,20-30,5603.4,-1325.7
EXP_NE,11,21-00,6305.1,-1240.0
EXP_NE,11,21-30,5734.5,-1086.3
EXP_NE,11,22-00,5628.0,-1310.8999999999999
EXP_NE,11,22-30,5731.8,-1293.1999999999998
EXP_NE,11,23-00,5662.8,-1302.6
EXP_NE,11,23-30,5582.8,-1440.3
EXP_NE,12,00-00,5609.2,-1148.8
EXP_NE,12,00-30,5430.2,-1155.5
EXP_NE,12,01-00,5167.9,-1245.8
EXP_NE,12,01-30,5110.5,-1191.1
EXP_NE,12,02-00,5143.9,-1213.9
EXP_NE,12,02-30,5232.0,-1203.4
EXP_NE,12,03-00,5015.2,-1353.3
EXP_NE,12,03-30,5335.8,-1496.9
EXP_NE,12,04-00,5114.5,-1399.9
EXP_NE,12,04-30,4845.4,-1508.7
EXP_NE,12,05-00,4682.5,-1285.0
EXP_NE,12,05-30,4599.7,-998.5
EXP_NE,12,06-00,4801.2,-1136.9
EXP_NE,12,06-30,4956.7,-1120.8
EXP_NE,12,07-00,5242.4,-1023.2
EXP_NE,12,07-30,5812.5,-961.4000000000001
EXP_NE,12,08-00,6634.7,-986.9
EXP_NE,12,08-30,7066.7,-940.8
EXP_NE,12,09-00,6500.8,-1078.6000000000001
EXP_NE,12,09-30,6443.1,-1020.6999999999999
EXP_NE,12,10-00,6250.6,-941.2
EXP_NE,12,10-30,6108.4,-985.3
EXP_NE,12,11-00,6358.4,-928.4000000000001
EXP_NE,12,11-30,6495.4,-1009.0
EXP_NE,12,12-00,6137.4,-878.0999999999999
EXP_NE,12,12-30,6047.4,-1050.3
EXP_NE,12,13-00,5837.3,-1006.8
EXP_NE,12,13-30,5620.1,-1014.9000000000001
EXP_NE,12,14-00,5494.1,-1024.6
EXP_NE,12,14-30,5415.4,-1030.3
EXP_NE,12,15-00,5895.8,-995.6999999999999
EXP_NE,12,15-30,5945.6,-996.5999999999999
EXP_NE,12,16-00,5583.9,-1060.9
EXP_NE,12,16-30,5391.5,-1049.1000000000001
EXP_NE,12,17-00,4913.9,-1093.7
EXP_NE,12,17-30,4058.7,-1189.0
EXP_NE,12,18-00,3981.3999999999996,-1273.7
EXP_NE,12,18-30,3946.4,-1455.8
EXP_NE,12,19-00,3719.5,-1475.0
EXP_NE,12,19-30,3564.4,-1479.2
EXP_NE,12,20-00,4470.3,-1345.0
EXP_NE,12,20-30,4320.7,-1391.8
EXP_NE,12,21-00,2738.8,-1480.6
EXP_NE,12,21-30,2952.6,-1404.5
EXP_NE,12,22-00,2693.0,-1485.7
EXP_NE,12,22-30,2648.6,-1494.0
EXP_NE,12,23-00,2627.7999999999997,-1452.7
EXP_NE,12,23-30,2519.2999999999997,-1424.6000000000001
EXP_NE,13,00-00,3876.0,-1226.3
EXP_NE,13,00-30,4194.1,-1432.9
EXP_NE,13,01-00,4675.7,-1416.4
EXP_NE,13,01-30,5044.2,-1429.5
EXP_NE,13,02-00,5234.4,-1376.7
EXP_NE,13,02-30,5234.9,-1410.2
EXP_NE,13,03-00,5255.8,-1388.9
EXP_NE,13,03-30,5293.5,-1533.9
EXP_NE,13,04-00,5266.7,-1414.1
EXP_NE,13,04-30,5398.1,-1567.3
EXP_NE,13,05-00,5459.2,-1295.7
EXP_NE,13,05-30,5447.8,-1099.4
EXP_NE,13,06-00,5494.4,-912.0000000000001
EXP_NE,13,06-30,5818.9,-763.3
EXP_NE,13,07-00,6128.3,-864.9000000000001
EXP_NE,13,07-30,6720.3,-890.3
EXP_NE,13,08-00,6484.2,-939.6999999999999
EXP_NE,13,08-30,5773.2,-1020.0999999999999
EXP_NE,13,09-00,5570.0,-960.7
